density,nelements,avg_electronegativity,avg_atomic_mass,vol_per_site,band_gap,avg_ve,range_ve,avg_group,std_group,avg_period,max_en,min_en,range_en,avg_rad,range_rad,n_unique,total_ve,density_ve_ratio
4.22977924607832,3,3.14166666666666,34.5531333333333,13.5649698093904,2.3558,5.333333333333333,6.0,15.333333333333334,1.9720265943665385,2.6666666666666665,3.44,1.93,1.51,89.16666666666667,71.0,3.0,32.0,0.7784869778058259
4.91226665319555,2,3.4675,41.2158524,13.932576935516542,0.208499999999999,5.5,6.0,15.5,2.598076211353316,2.75,3.98,1.93,2.05,89.25,73.0,2.0,22.0,0.8771904737849197
2.79147755778958,5,2.36173913043478,25.0788252173913,14.918396496401456,1.238,2.782608695652174,5.0,7.565217391304348,6.933385439191536,2.0434782608695654,3.04,1.93,1.11,67.65217391304348,107.0,5.0,64.0,0.968385879776174
2.74071505048699,4,2.88529411764705,18.8842647058823,11.441561311731853,3.6925,4.235294117647059,5.0,11.294117647058824,6.745497024223362,2.0,3.44,1.93,1.51,70.0,107.0,4.0,72.0,0.6321866466523587
8.03125126453621,4,2.73375,80.995925,16.746692796402062,0.738599999999999,4.25,5.0,14.25,2.0463381929681126,3.625,3.44,1.93,1.51,107.125,78.0,4.0,34.0,1.8462646585140716
6.96586271042879,4,2.90777777777777,67.0057666666666,15.972995452000252,0.5517,4.444444444444445,5.0,14.444444444444445,2.006163342807532,3.2222222222222223,3.44,1.93,1.51,98.44444444444444,78.0,4.0,40.0,1.532830425277729
7.61377646117005,4,2.735,75.50244525,16.46682964766022,1.1892,4.25,5.0,14.25,2.0463381929681126,3.5,3.44,1.93,1.51,106.0,78.0,4.0,34.0,1.750293439349437
5.83897311442536,4,2.30833333333333,79.9291333333333,22.73095728623542,1.2453,4.333333333333333,5.0,14.333333333333334,2.054804667656325,4.0,2.58,1.93,0.6500000000000001,120.0,49.0,4.0,26.0,1.3170616047576003
6.11159011304416,4,2.3675,105.1068,28.557862084500623,1.2604,4.0,6.0,14.0,2.5495097567963922,4.5,2.96,1.93,1.03,127.75,49.0,4.0,16.0,1.4906317348888196
6.52215098545542,4,2.2925,116.8569175,29.751760905862124,1.3584,4.0,6.0,14.0,2.5495097567963922,4.75,2.66,1.93,0.7300000000000002,132.5,49.0,4.0,16.0,1.5907685330379076
5.80989880574588,2,2.295,117.386335,33.5504286167115,1.3759,4.0,6.0,14.0,3.0,5.0,2.66,1.93,0.7300000000000002,138.5,11.0,2.0,8.0,1.4170484892063124
4.97940656101746,3,3.11916666666666,51.3814008333333,17.134737309529875,2.2937,5.833333333333333,6.0,15.833333333333334,1.51840559652405,3.0,3.44,1.93,1.51,93.91666666666667,71.0,3.0,70.0,0.8392258248905833
5.99992207591981,3,2.982,56.554174,15.6519391615427,2.4375,5.2,6.0,15.2,2.1354156504062622,3.2,3.44,1.93,1.51,99.2,71.0,3.0,26.0,1.1320607690414737
3.84475838073493,3,2.79849999999999,57.21986,24.713077781813702,2.3227,6.4,6.0,13.4,5.013980454688669,3.7,3.16,1.93,1.2300000000000002,113.25,45.0,3.0,128.0,0.5915012893438354
4.54651998562844,4,2.99111111111111,36.7531513333333,13.4234631767985,2.1219,5.333333333333333,5.0,14.222222222222221,3.292340531117567,2.7777777777777777,3.44,1.93,1.51,92.33333333333333,71.0,4.0,48.0,0.8367828194408173
4.50952459455862,3,3.058,33.97462,12.5104504033448,1.85389999999999,4.8,5.0,14.8,1.9390719429665315,2.6,3.44,1.93,1.51,87.6,71.0,3.0,24.0,0.9203111417466573
3.36181551604769,4,3.16,34.8062614,17.1922452440045,1.9686,4.75,6.0,14.75,2.277608394786075,3.0,3.98,1.93,2.05,99.5,73.0,4.0,19.0,0.6931578383603485
3.1573492474056,3,3.5,31.60404765,16.621460495266874,3.2361,6.0,6.0,16.0,2.0,2.5,3.98,1.93,2.05,85.0,73.0,3.0,48.0,0.5175982372796066
4.74084182693312,3,2.888,37.3680324,13.088620103218199,2.0232,4.8,5.0,14.8,1.9390719429665315,2.8,3.44,1.93,1.51,94.6,71.0,3.0,24.0,0.9675187401904327
5.86747808881931,3,3.5175,53.6323273999999,15.178339574899375,0.217999999999999,5.875,6.0,15.875,2.0879116360612584,2.875,3.98,1.93,2.05,93.125,104.0,3.0,47.0,0.9820047010576252
4.24690814028755,4,3.07416666666666,33.5749083333333,13.127773218386332,1.1739,5.714285714285714,8.0,14.285714285714286,2.7627256579733883,3.0,3.44,1.93,1.51,96.14285714285714,71.0,4.0,40.0,0.7304264614745172
2.80388373171141,4,3.24454545454545,27.8174005818181,16.474249582801498,0.187799999999999,5.428571428571429,6.0,15.428571428571429,1.840585532389304,2.7142857142857144,3.98,1.93,2.05,91.14285714285714,73.0,4.0,38.0,0.5071624320925031
3.8540124601468,4,3.135,34.4883005333333,14.85962252806521,2.4337,5.333333333333333,6.0,15.333333333333334,1.9720265943665385,2.6666666666666665,3.98,1.93,2.05,89.33333333333333,73.0,4.0,32.0,0.7093274466527854
2.32626298938009,4,2.88083333333333,35.6941091333333,25.4792613449,2.7813,5.769230769230769,6.0,15.76923076923077,1.4756404687116058,3.076923076923077,3.98,1.93,2.05,101.0,73.0,4.0,75.0,0.39634887106082795
